datetime,value
2026-02-23T00:04:50,28.54
2026-02-23T00:14:47,28.5
2026-02-23T00:24:44,28.51
2026-02-23T00:34:41,28.4
2026-02-23T00:44:38,28.35
2026-02-23T00:54:34,28.29
2026-02-23T01:04:31,28.2
2026-02-23T01:14:28,28.15
2026-02-23T01:24:25,28.08
2026-02-23T01:34:23,27.96
2026-02-23T01:44:19,27.91
2026-02-23T01:54:16,27.87
2026-02-23T02:04:13,27.87
2026-02-23T02:14:10,27.85
2026-02-23T02:24:06,27.91
2026-02-23T02:34:03,27.87
2026-02-23T02:44:00,27.83
2026-02-23T02:53:57,27.81
2026-02-23T03:03:54,27.77
2026-02-23T03:13:50,27.78
2026-02-23T03:23:48,27.68
2026-02-23T03:33:44,27.47
2026-02-23T03:43:42,27.4
2026-02-23T03:53:38,27.24
2026-02-23T04:03:35,27.18
2026-02-23T04:13:32,27.15
2026-02-23T04:23:29,27.13
2026-02-23T04:33:26,27.1
2026-02-23T04:43:23,27.08
2026-02-23T04:53:20,27.05
2026-02-23T05:03:17,27.08
2026-02-23T05:13:14,27.06
2026-02-23T05:23:11,27.02
2026-02-23T05:33:08,27.02
2026-02-23T05:43:05,26.97
2026-02-23T05:53:02,26.95
2026-02-23T06:02:59,26.9
2026-02-23T06:12:56,26.9
2026-02-23T06:22:53,26.88
2026-02-23T06:32:50,26.88
2026-02-23T06:42:47,26.9
2026-02-23T06:52:44,26.97
2026-02-23T07:02:41,27.08
2026-02-23T07:12:38,27.28
2026-02-23T07:22:35,27.36
2026-02-23T07:32:33,27.67
2026-02-23T07:42:30,27.95
2026-02-23T07:52:27,28.22
2026-02-23T08:02:24,28.54
2026-02-23T08:12:22,28.7
2026-02-23T08:22:19,29.05
2026-02-23T08:32:15,29.1
2026-02-23T08:42:13,29.48
2026-02-23T08:52:10,29.61
2026-02-23T09:02:07,29.83
2026-02-23T09:12:05,30.38
2026-02-23T09:22:02,31.12
2026-02-23T09:32:00,31.58
2026-02-23T09:41:58,32.68
2026-02-23T09:51:56,33.35
2026-02-23T10:01:53,33.54
2026-02-23T10:11:50,34.38
2026-02-23T10:21:47,34.59
2026-02-23T10:31:44,34.89
2026-02-23T10:41:42,35.03
2026-02-23T10:51:39,35.01
2026-02-23T11:01:37,35.79
2026-02-23T11:11:34,35.87
2026-02-23T11:21:30,36.59
2026-02-23T11:31:27,37.24
2026-02-23T11:41:25,36.62
2026-02-23T11:51:21,38.18
2026-02-23T12:01:18,37.34
2026-02-23T12:11:14,37.48
2026-02-23T12:21:11,36.21
2026-02-23T12:31:08,38.11
2026-02-23T12:41:06,37.2
2026-02-23T12:51:03,37.29
2026-02-23T13:01:00,36.84
2026-02-23T13:10:57,38.63
2026-02-23T13:20:55,39.17
2026-02-23T13:30:51,39.52
2026-02-23T13:40:48,38.29
2026-02-23T13:50:45,38.22
2026-02-23T14:00:41,38.52
2026-02-23T14:10:38,38.07
2026-02-23T14:20:35,35.51
2026-02-23T14:30:30,35.67
2026-02-23T14:40:30,37.84
2026-02-23T14:50:28,38.25
2026-02-23T15:00:25,38.03
2026-02-23T15:10:22,38.24
2026-02-23T15:20:18,38.11
