datetime,value
2026-02-23T00:09:40,75.27
2026-02-23T00:19:37,74.57
2026-02-23T00:29:34,75.94
2026-02-23T00:39:30,76.09
2026-02-23T00:49:27,77.04
2026-02-23T00:59:25,77.2
2026-02-23T01:09:22,79.06
2026-02-23T01:19:19,75.8
2026-02-23T01:29:16,74.36
2026-02-23T01:39:13,74.89
2026-02-23T01:49:10,76.1
2026-02-23T01:59:07,75.92
2026-02-23T02:09:03,77.42
2026-02-23T02:19:00,79.09
2026-02-23T02:28:57,79.46
2026-02-23T02:38:54,79.9
2026-02-23T02:48:51,79.85
2026-02-23T02:58:49,77.35
2026-02-23T03:08:46,76.54
2026-02-23T03:18:43,76.82
2026-02-23T03:28:40,77.23
2026-02-23T03:38:37,77.32
2026-02-23T03:48:34,77.37
2026-02-23T03:58:31,77.56
2026-02-23T04:08:28,78
2026-02-23T04:18:25,78.25
2026-02-23T04:28:22,79.29
2026-02-23T04:38:19,80.27
2026-02-23T04:48:16,81.07
2026-02-23T04:58:13,81.62
2026-02-23T05:08:10,82.37
2026-02-23T05:18:06,83.72
2026-02-23T05:28:03,84.42
2026-02-23T05:38:00,84.07
2026-02-23T05:47:57,83.46
2026-02-23T05:57:54,83.46
2026-02-23T06:07:51,84.35
2026-02-23T06:17:48,84.34
2026-02-23T06:27:45,85.46
2026-02-23T06:37:42,85.81
2026-02-23T06:47:39,84.31
2026-02-23T06:57:37,84.66
2026-02-23T07:07:34,83.9
2026-02-23T07:17:32,82.56
2026-02-23T07:27:30,78.94
2026-02-23T07:37:28,75.04
2026-02-23T07:47:25,72.84
2026-02-23T07:57:23,68.82
2026-02-23T08:07:21,64.75
2026-02-23T08:17:18,62.6
2026-02-23T08:27:15,61.13
2026-02-23T08:37:13,56.48
2026-02-23T08:47:10,54.95
2026-02-23T08:57:08,54.35
2026-02-23T09:07:05,53.92
2026-02-23T09:17:02,52.81
2026-02-23T09:26:59,53.28
2026-02-23T09:36:56,53.09
2026-02-23T09:46:54,52.15
2026-02-23T09:56:51,52.45
2026-02-23T10:06:48,51.4
2026-02-23T10:16:46,49.55
2026-02-23T10:26:43,48.35
2026-02-23T10:36:42,43.66
2026-02-23T10:46:40,43.61
2026-02-23T10:56:36,45.68
2026-02-23T11:06:33,45.86
2026-02-23T11:16:30,44.7
2026-02-23T11:26:28,43.83
2026-02-23T11:36:24,45.4
2026-02-23T11:46:21,45.42
2026-02-23T11:56:18,45.57
2026-02-23T12:06:15,44.2
2026-02-23T12:16:12,44.78
2026-02-23T12:26:08,44.4
2026-02-23T12:36:06,42.45
2026-02-23T12:46:03,41.04
2026-02-23T12:56:01,41.44
2026-02-23T13:05:58,42.43
2026-02-23T13:15:55,41.66
2026-02-23T13:25:52,41.37
2026-02-23T13:35:49,41.69
2026-02-23T13:45:46,40.34
2026-02-23T13:55:44,39.55
2026-02-23T14:05:41,40.5
2026-02-23T14:15:37,40.93
2026-02-23T14:25:34,39.47
2026-02-23T14:35:31,41.18
2026-02-23T14:45:26,41.38
2026-02-23T14:55:25,41.51
2026-02-23T15:05:21,42.23
2026-02-23T15:15:16,44.38
2026-02-23T15:25:12,45.89
