timestamp_local,value
2026-01-30T00:08:50,225
2026-01-30T00:18:47,225
2026-01-30T00:28:43,225
2026-01-30T00:38:39,225
2026-01-30T00:48:36,225
2026-01-30T00:58:32,225
2026-01-30T01:08:29,225
2026-01-30T01:18:25,225
2026-01-30T01:28:23,225
2026-01-30T01:38:19,225
2026-01-30T01:48:17,225
2026-01-30T01:58:13,225
2026-01-30T02:08:10,270
2026-01-30T02:18:06,270
2026-01-30T02:28:03,270
2026-01-30T02:37:59,270
2026-01-30T02:47:56,225
2026-01-30T02:57:53,225
2026-01-30T07:36:25,225
2026-01-30T08:56:01,270
2026-01-30T09:05:58,45
2026-01-30T09:15:55,270
2026-01-30T09:25:53,270
2026-01-30T09:35:50,45
2026-01-30T09:45:47,337.5
2026-01-30T09:55:45,225
2026-01-30T10:05:41,45
2026-01-30T10:15:40,315
2026-01-30T10:25:36,225
2026-01-30T10:35:33,90
2026-01-30T10:45:29,22.5
2026-01-30T10:55:26,45
2026-01-30T11:05:23,45
2026-01-30T11:15:20,315
2026-01-30T11:25:17,90
2026-01-30T11:35:16,45
2026-01-30T11:45:12,315
2026-01-30T11:55:10,337.5
2026-01-30T12:05:08,337.5
2026-01-30T12:15:01,225
2026-01-30T12:24:59,270
2026-01-30T12:34:59,90
2026-01-30T12:44:55,292.5
2026-01-30T12:54:52,90
2026-01-30T13:04:47,67.5
2026-01-30T13:14:44,292.5
2026-01-30T13:24:46,315
2026-01-30T13:34:37,0
2026-01-30T13:44:34,292.5
2026-01-30T13:54:31,45
2026-01-30T14:04:26,292.5
2026-01-30T14:14:23,270
2026-01-30T14:24:21,315
2026-01-30T14:34:18,315
2026-01-30T14:44:21,45
2026-01-30T14:54:10,225
2026-01-30T15:04:09,0
2026-01-30T15:14:05,315
2026-01-30T15:24:04,315
2026-01-30T15:33:57,225
2026-01-30T15:43:54,270
2026-01-30T15:53:50,315
2026-01-30T16:03:46,270
2026-01-30T16:13:41,270
2026-01-30T16:23:38,270
2026-01-30T16:33:34,315
2026-01-30T16:43:32,270
2026-01-30T16:53:28,45
2026-01-30T17:03:24,292.5
2026-01-30T17:13:20,270
2026-01-30T17:23:16,315
2026-01-30T17:33:12,292.5
