datetime,value
2026-02-23T10:45:09,56.06
2026-02-23T11:05:03,53.7
2026-02-23T11:15:04,51.96
2026-02-23T11:25:04,51.84
2026-02-23T11:44:53,46.64
2026-02-23T11:54:51,44.91
2026-02-23T12:04:47,44.38
2026-02-23T12:14:44,44.36
2026-02-23T12:24:41,40.96
2026-02-23T12:34:38,38.98
2026-02-23T12:44:34,39.55
2026-02-23T12:54:32,38.5
2026-02-23T13:04:28,36.66
2026-02-23T13:14:24,40.23
2026-02-23T13:24:22,39.26
2026-02-23T13:34:18,38.18
2026-02-23T13:44:15,40.52
2026-02-23T13:54:10,49.12
2026-02-23T14:04:05,51.64
2026-02-23T14:14:00,54.65
2026-02-23T14:23:56,56.21
2026-02-23T14:33:53,51.09
2026-02-23T14:43:52,46.69
2026-02-23T14:53:50,45.06
2026-02-23T15:13:44,44.19
