timestamp_local,value
2026-01-30T00:00:39,29
2026-01-30T00:01:39,32
2026-01-30T00:02:39,31
2026-01-30T00:03:39,29
2026-01-30T00:04:39,30
2026-01-30T00:05:40,31
2026-01-30T00:06:39,30
2026-01-30T00:07:40,29
2026-01-30T00:08:40,30
2026-01-30T00:09:39,30
2026-01-30T00:10:40,29
2026-01-30T00:11:40,28
2026-01-30T00:12:40,30
2026-01-30T00:13:40,27
2026-01-30T00:14:40,29
2026-01-30T00:15:40,32
2026-01-30T00:16:40,27
2026-01-30T00:17:40,28
2026-01-30T00:18:40,28
2026-01-30T00:19:40,30
2026-01-30T00:20:41,28
2026-01-30T00:21:40,29
2026-01-30T00:22:41,30
2026-01-30T00:23:41,25
2026-01-30T00:24:40,30
2026-01-30T00:25:41,25
2026-01-30T00:26:41,30
2026-01-30T00:27:41,22
2026-01-30T00:28:41,25
2026-01-30T00:29:41,28
2026-01-30T00:30:41,28
2026-01-30T00:31:41,29
2026-01-30T00:32:41,21
2026-01-30T00:33:41,25
2026-01-30T00:34:41,30
2026-01-30T00:35:41,24
2026-01-30T00:36:41,28
2026-01-30T00:37:42,30
2026-01-30T00:38:41,28
2026-01-30T00:39:42,25
2026-01-30T00:40:42,32
2026-01-30T00:41:42,25
2026-01-30T00:42:42,25
2026-01-30T00:43:42,25
2026-01-30T00:44:42,24
2026-01-30T00:45:42,30
2026-01-30T00:46:42,24
2026-01-30T00:47:42,28
2026-01-30T00:48:42,30
2026-01-30T00:49:42,25
2026-01-30T00:50:42,25
2026-01-30T00:51:42,23
2026-01-30T00:52:43,23
2026-01-30T00:53:42,22
2026-01-30T00:54:42,27
2026-01-30T00:55:43,23
2026-01-30T00:56:43,22
2026-01-30T00:57:43,24
2026-01-30T00:58:43,24
2026-01-30T00:59:43,24
2026-01-30T01:00:43,21
2026-01-30T01:01:43,25
2026-01-30T01:02:43,27
2026-01-30T01:03:43,27
2026-01-30T01:04:43,25
2026-01-30T01:05:43,29
2026-01-30T01:06:43,30
2026-01-30T01:07:44,27
2026-01-30T01:08:43,28
2026-01-30T01:09:43,30
2026-01-30T01:10:44,25
2026-01-30T01:11:44,28
2026-01-30T01:12:44,30
2026-01-30T01:13:44,24
2026-01-30T01:14:44,25
2026-01-30T01:15:44,23
2026-01-30T01:16:44,28
2026-01-30T01:17:44,27
2026-01-30T01:18:44,27
2026-01-30T01:19:44,25
2026-01-30T01:20:44,28
2026-01-30T01:21:44,28
2026-01-30T01:22:45,25
2026-01-30T01:23:44,23
2026-01-30T01:24:44,21
2026-01-30T01:25:45,27
2026-01-30T01:26:45,23
2026-01-30T01:27:44,25
2026-01-30T01:28:45,22
2026-01-30T01:29:45,28
2026-01-30T01:30:45,25
2026-01-30T01:31:45,21
2026-01-30T01:32:45,22
2026-01-30T01:33:45,23
2026-01-30T01:34:45,23
2026-01-30T01:35:45,21
2026-01-30T01:36:45,21
2026-01-30T01:37:45,25
2026-01-30T01:38:45,22
2026-01-30T01:39:45,27
2026-01-30T01:40:45,27
2026-01-30T01:41:46,21
2026-01-30T01:42:46,24
2026-01-30T01:43:45,22
2026-01-30T01:44:46,28
2026-01-30T01:45:46,21
2026-01-30T01:46:46,27
2026-01-30T01:47:46,23
2026-01-30T01:48:46,21
2026-01-30T01:49:46,25
2026-01-30T01:50:46,22
2026-01-30T01:51:46,24
2026-01-30T01:52:46,20
2026-01-30T01:53:46,21
2026-01-30T01:54:46,21
2026-01-30T01:55:46,28
2026-01-30T01:56:47,24
2026-01-30T01:57:46,25
2026-01-30T01:58:47,27
2026-01-30T01:59:47,22
2026-01-30T02:00:47,30
2026-01-30T02:01:47,30
2026-01-30T02:02:47,23
2026-01-30T02:03:47,24
2026-01-30T02:04:47,23
2026-01-30T02:05:47,24
2026-01-30T02:06:47,23
2026-01-30T02:07:48,20
2026-01-30T02:08:47,20
2026-01-30T02:09:47,21
2026-01-30T02:10:48,20
2026-01-30T02:11:47,25
2026-01-30T02:12:48,24
2026-01-30T02:13:48,22
2026-01-30T02:14:48,25
2026-01-30T02:15:48,20
2026-01-30T02:16:48,21
2026-01-30T02:17:48,21
2026-01-30T02:18:48,24
2026-01-30T02:19:48,25
2026-01-30T02:20:48,21
2026-01-30T02:21:48,25
2026-01-30T02:22:48,21
2026-01-30T02:23:48,22
2026-01-30T02:24:48,22
2026-01-30T02:25:49,25
2026-01-30T02:26:48,21
2026-01-30T02:27:49,27
2026-01-30T02:28:49,22
2026-01-30T02:29:49,23
2026-01-30T02:30:49,24
2026-01-30T02:31:49,24
2026-01-30T02:32:49,21
2026-01-30T02:33:49,25
2026-01-30T02:34:49,23
2026-01-30T02:35:49,27
2026-01-30T02:36:49,20
2026-01-30T02:37:49,22
2026-01-30T02:38:49,25
2026-01-30T02:39:49,22
2026-01-30T02:40:50,22
2026-01-30T02:41:49,23
2026-01-30T02:42:49,23
2026-01-30T02:43:50,23
2026-01-30T02:44:50,27
2026-01-30T02:45:50,24
2026-01-30T02:46:50,24
2026-01-30T02:47:50,28
2026-01-30T02:48:50,27
2026-01-30T02:49:50,28
2026-01-30T02:50:50,28
2026-01-30T02:51:50,28
2026-01-30T02:52:50,23
2026-01-30T02:53:50,28
2026-01-30T02:54:50,30
2026-01-30T02:55:51,30
2026-01-30T02:56:50,24
2026-01-30T02:57:50,30
2026-01-30T02:58:51,25
2026-01-30T02:59:50,31
2026-01-30T03:01:15,25
2026-01-30T03:01:51,27
2026-01-30T03:02:51,23
2026-01-30T03:03:51,25
2026-01-30T03:04:51,22
2026-01-30T03:05:51,24
2026-01-30T03:06:51,28
2026-01-30T03:07:51,27
2026-01-30T03:08:51,25
2026-01-30T03:09:51,29
2026-01-30T03:10:51,27
2026-01-30T03:11:52,22
2026-01-30T03:12:51,22
2026-01-30T03:13:52,28
2026-01-30T03:14:52,23
2026-01-30T03:15:52,31
2026-01-30T03:16:52,21
2026-01-30T03:17:52,22
2026-01-30T03:18:52,30
2026-01-30T03:19:52,24
2026-01-30T03:20:52,20
2026-01-30T03:21:52,27
2026-01-30T03:22:52,25
2026-01-30T03:23:52,27
2026-01-30T03:24:52,24
2026-01-30T03:25:52,21
2026-01-30T03:26:52,22
2026-01-30T03:27:53,24
2026-01-30T03:28:52,22
2026-01-30T03:29:53,27
2026-01-30T03:30:53,22
2026-01-30T03:31:53,24
2026-01-30T03:32:53,24
2026-01-30T03:33:53,23
2026-01-30T03:34:53,27
2026-01-30T03:35:53,28
2026-01-30T03:36:53,23
2026-01-30T03:37:53,27
2026-01-30T03:38:53,29
2026-01-30T03:39:53,30
2026-01-30T03:40:53,28
2026-01-30T03:41:53,29
2026-01-30T03:42:54,25
2026-01-30T03:43:53,23
2026-01-30T03:44:53,21
2026-01-30T03:45:54,29
2026-01-30T03:46:54,30
2026-01-30T03:47:54,30
2026-01-30T03:48:54,24
2026-01-30T03:49:54,25
2026-01-30T03:50:54,27
2026-01-30T03:51:54,27
2026-01-30T03:52:54,27
2026-01-30T03:53:54,25
2026-01-30T03:54:54,28
2026-01-30T03:55:54,23
2026-01-30T03:56:54,27
2026-01-30T03:57:55,23
2026-01-30T03:58:54,29
2026-01-30T03:59:54,28
2026-01-30T04:00:55,22
2026-01-30T04:01:54,24
2026-01-30T04:02:55,25
2026-01-30T04:03:55,28
2026-01-30T04:04:55,24
2026-01-30T04:05:55,22
2026-01-30T04:06:55,24
2026-01-30T04:07:55,25
2026-01-30T04:08:55,22
2026-01-30T04:09:55,23
2026-01-30T04:10:55,24
2026-01-30T04:11:55,30
2026-01-30T04:12:55,21
2026-01-30T04:13:55,29
2026-01-30T04:14:56,25
2026-01-30T04:15:55,27
2026-01-30T04:16:55,25
2026-01-30T04:17:56,25
2026-01-30T04:18:56,24
2026-01-30T04:19:56,25
2026-01-30T04:20:56,27
2026-01-30T04:21:57,24
2026-01-30T04:22:56,21
2026-01-30T04:23:56,22
2026-01-30T04:24:56,24
2026-01-30T04:25:56,23
2026-01-30T04:26:56,25
2026-01-30T04:27:56,30
2026-01-30T04:28:56,22
2026-01-30T04:29:57,28
2026-01-30T04:30:56,23
2026-01-30T04:31:56,23
2026-01-30T04:32:57,21
2026-01-30T04:33:57,29
2026-01-30T04:34:57,27
2026-01-30T04:35:57,30
2026-01-30T04:36:57,24
2026-01-30T04:37:57,25
2026-01-30T04:38:57,27
2026-01-30T04:39:57,29
2026-01-30T04:40:57,27
2026-01-30T04:41:57,23
2026-01-30T04:42:57,24
2026-01-30T04:43:58,29
2026-01-30T04:44:57,23
2026-01-30T04:45:57,23
2026-01-30T04:46:58,22
2026-01-30T04:47:57,24
2026-01-30T04:48:58,23
2026-01-30T04:49:58,25
2026-01-30T04:50:58,28
2026-01-30T04:51:58,24
2026-01-30T04:52:58,22
2026-01-30T04:53:58,25
2026-01-30T04:54:58,30
2026-01-30T04:55:58,22
2026-01-30T04:56:58,25
2026-01-30T04:57:58,22
2026-01-30T04:58:58,22
2026-01-30T04:59:58,29
2026-01-30T05:00:58,29
2026-01-30T05:01:59,25
2026-01-30T05:02:58,24
2026-01-30T05:03:59,24
2026-01-30T05:04:59,21
2026-01-30T05:05:59,30
2026-01-30T05:06:59,28
2026-01-30T05:07:59,28
2026-01-30T05:08:59,23
2026-01-30T05:09:59,24
2026-01-30T05:10:59,23
2026-01-30T05:11:59,28
2026-01-30T05:12:59,24
2026-01-30T05:13:59,29
2026-01-30T05:15:01,27
2026-01-30T05:15:59,30
2026-01-30T05:16:59,22
2026-01-30T05:18:00,29
2026-01-30T05:18:59,27
2026-01-30T05:20:00,25
2026-01-30T05:21:00,25
2026-01-30T05:22:00,31
2026-01-30T05:23:00,30
2026-01-30T05:24:00,22
2026-01-30T05:25:00,27
2026-01-30T05:26:00,23
2026-01-30T05:27:00,28
2026-01-30T05:28:00,23
2026-01-30T05:29:00,30
2026-01-30T05:30:00,27
2026-01-30T05:31:00,21
2026-01-30T05:32:00,28
2026-01-30T05:33:01,28
2026-01-30T05:34:00,30
2026-01-30T05:35:01,28
2026-01-30T05:36:01,28
2026-01-30T05:37:01,29
2026-01-30T05:38:01,25
2026-01-30T05:39:01,24
2026-01-30T05:40:03,24
2026-01-30T05:41:01,23
2026-01-30T05:42:01,29
2026-01-30T05:43:01,29
2026-01-30T05:44:01,30
2026-01-30T05:45:01,25
2026-01-30T05:46:01,30
2026-01-30T05:47:02,28
2026-01-30T05:48:02,24
2026-01-30T05:49:01,28
2026-01-30T05:50:03,27
2026-01-30T05:51:02,30
2026-01-30T05:52:02,28
2026-01-30T05:53:02,28
2026-01-30T05:54:02,28
2026-01-30T05:55:02,30
2026-01-30T05:56:02,27
2026-01-30T05:57:02,28
2026-01-30T05:58:02,28
2026-01-30T05:59:03,27
2026-01-30T06:00:03,24
2026-01-30T06:01:02,27
2026-01-30T06:02:03,25
2026-01-30T06:03:02,24
2026-01-30T06:04:03,24
2026-01-30T06:05:03,25
2026-01-30T06:06:02,21
2026-01-30T06:07:03,30
2026-01-30T06:08:03,25
2026-01-30T06:09:03,29
2026-01-30T06:10:03,30
2026-01-30T06:11:03,27
2026-01-30T06:12:03,30
2026-01-30T06:13:03,27
2026-01-30T06:14:03,27
2026-01-30T06:15:03,30
2026-01-30T06:16:03,25
2026-01-30T06:17:04,28
2026-01-30T06:18:03,29
2026-01-30T06:19:04,28
2026-01-30T06:20:04,30
2026-01-30T06:21:04,28
2026-01-30T06:22:04,27
2026-01-30T06:23:04,24
2026-01-30T06:24:04,29
2026-01-30T06:25:04,24
2026-01-30T06:26:04,24
2026-01-30T06:27:04,25
2026-01-30T06:28:04,29
2026-01-30T06:29:04,30
2026-01-30T06:30:04,21
2026-01-30T06:31:04,24
2026-01-30T06:32:04,23
2026-01-30T06:33:05,22
2026-01-30T06:34:04,27
2026-01-30T06:35:05,29
2026-01-30T06:36:05,27
2026-01-30T06:37:05,21
2026-01-30T06:38:05,27
2026-01-30T06:39:05,30
2026-01-30T06:40:05,28
2026-01-30T06:41:05,25
2026-01-30T06:42:05,29
2026-01-30T06:43:05,27
2026-01-30T06:44:05,28
2026-01-30T06:45:05,22
2026-01-30T06:46:05,24
2026-01-30T06:47:05,30
2026-01-30T06:48:06,27
2026-01-30T06:49:06,28
2026-01-30T06:50:05,28
2026-01-30T06:51:06,30
2026-01-30T06:52:06,28
2026-01-30T06:53:06,25
2026-01-30T06:54:06,23
2026-01-30T06:55:06,27
2026-01-30T06:56:06,29
2026-01-30T06:57:06,28
2026-01-30T06:58:06,28
2026-01-30T06:59:06,29
2026-01-30T07:00:06,27
2026-01-30T07:01:07,27
2026-01-30T07:02:06,22
2026-01-30T07:03:06,24
2026-01-30T07:04:07,30
2026-01-30T07:05:07,27
2026-01-30T07:06:07,30
2026-01-30T07:07:07,28
2026-01-30T07:08:07,27
2026-01-30T07:09:07,21
2026-01-30T07:10:07,29
2026-01-30T07:11:07,27
2026-01-30T07:12:07,30
2026-01-30T07:13:07,29
2026-01-30T07:14:07,27
2026-01-30T07:15:07,28
2026-01-30T07:16:07,24
2026-01-30T07:17:08,30
2026-01-30T07:18:07,29
2026-01-30T07:19:08,30
2026-01-30T07:20:08,30
2026-01-30T07:21:09,27
2026-01-30T07:22:08,30
2026-01-30T07:23:08,29
2026-01-30T07:24:08,28
2026-01-30T07:25:08,29
2026-01-30T07:26:08,33
2026-01-30T07:27:08,32
2026-01-30T07:28:08,22
2026-01-30T07:29:08,28
2026-01-30T07:30:08,31
2026-01-30T07:31:08,27
2026-01-30T07:32:09,33
2026-01-30T07:33:08,31
2026-01-30T07:34:09,31
2026-01-30T07:35:09,35
2026-01-30T07:36:09,30
2026-01-30T07:37:09,30
2026-01-30T07:38:09,31
2026-01-30T07:39:09,34
2026-01-30T07:40:09,34
2026-01-30T07:41:09,31
2026-01-30T07:42:09,31
2026-01-30T07:43:09,35
2026-01-30T07:44:09,36
2026-01-30T07:45:09,35
2026-01-30T07:46:09,30
2026-01-30T07:47:09,32
2026-01-30T07:48:10,30
2026-01-30T07:49:10,35
2026-01-30T07:50:10,34
2026-01-30T07:51:10,36
2026-01-30T07:52:10,37
2026-01-30T07:53:10,34
2026-01-30T07:54:10,36
2026-01-30T07:55:10,35
2026-01-30T07:56:10,33
2026-01-30T07:57:10,35
2026-01-30T07:58:10,30
2026-01-30T07:59:10,32
2026-01-30T08:00:10,34
2026-01-30T08:01:11,32
2026-01-30T08:02:10,31
2026-01-30T08:03:11,36
2026-01-30T08:04:11,32
2026-01-30T08:05:11,30
2026-01-30T08:06:11,30
2026-01-30T08:07:11,32
2026-01-30T08:08:11,32
2026-01-30T08:09:11,30
2026-01-30T08:10:11,30
2026-01-30T08:11:11,29
2026-01-30T08:12:11,32
2026-01-30T08:13:11,33
2026-01-30T08:14:11,30
2026-01-30T08:15:12,30
2026-01-30T08:16:11,30
2026-01-30T08:17:12,32
2026-01-30T08:18:12,30
2026-01-30T08:19:12,30
2026-01-30T08:20:12,31
2026-01-30T08:21:12,30
2026-01-30T08:22:12,27
2026-01-30T08:23:12,30
2026-01-30T08:24:12,30
2026-01-30T08:25:12,30
2026-01-30T08:26:12,29
2026-01-30T08:27:12,27
2026-01-30T08:28:12,33
2026-01-30T08:29:12,30
2026-01-30T08:30:13,25
2026-01-30T08:31:13,32
2026-01-30T08:32:13,29
2026-01-30T08:33:13,25
2026-01-30T08:34:13,30
2026-01-30T08:35:13,30
2026-01-30T08:36:13,25
2026-01-30T08:37:13,30
2026-01-30T08:38:13,29
2026-01-30T08:39:13,23
2026-01-30T08:40:13,27
2026-01-30T08:41:14,33
